latitude,longitude,elevation
51.990047,-9.728633,815.2152709960938
51.990047,-9.72877907,816.70703125
51.990047,-9.728925140000001,818.1987915039062
51.990047,-9.72907121,819.6905517578125
51.990047,-9.72921728,820.982666015625
51.990047,-9.72936335,822.26171875
51.990047,-9.72950942,823.5407104492188
51.990047,-9.72965549,824.8197631835938
51.990047,-9.72980156,825.8965454101562
51.990047,-9.72994763,826.3246459960938
51.990047,-9.730093700000001,826.7527465820312
51.990047,-9.73023977,827.1808471679688
51.990047,-9.73038584,827.6089477539062
51.990047,-9.73053191,827.8086547851562
51.990047,-9.73067798,827.811279296875
51.990047,-9.73082405,827.81396484375
51.990047,-9.73097012,827.8165893554688
51.990047,-9.73111619,827.8192749023438
51.990047,-9.731262260000001,826.9315185546875
51.990047,-9.73140833,825.8692016601562
51.990047,-9.7315544,824.806884765625
51.990047,-9.73170047,823.7445068359375
51.990047,-9.73184654,822.1932373046875
51.990047,-9.73199261,817.5158081054688
51.990047,-9.73213868,812.83837890625
51.990047,-9.73228475,808.1610107421875
51.990047,-9.732430820000001,803.4835815429688
51.990047,-9.73257689,798.8980102539062
51.990047,-9.73272296,794.4320068359375
51.990047,-9.73286903,789.9660034179688
51.990047,-9.7330151,785.5
51.990047,-9.73316117,781.0339965820312
51.990047,-9.73330724,774.8502197265625
51.990047,-9.73345331,768.0428466796875
51.990047,-9.733599380000001,761.2355346679688
51.990047,-9.73374545,754.4281616210938
51.990047,-9.73389152,747.6137084960938
51.990047,-9.73403759,740.5910034179688
51.990047,-9.73418366,733.5682373046875
51.990047,-9.73432973,726.5455322265625
51.990047,-9.7344758,719.5227661132812
51.990047,-9.73462187,712.5706787109375
51.990047,-9.734767940000001,705.7606811523438
51.990047,-9.73491401,698.95068359375
51.990047,-9.73506008,692.1406860351562
51.990047,-9.73520615,685.3306884765625
51.990047,-9.73535222,678.789306640625
51.990047,-9.73549829,672.4047241210938
51.990047,-9.73564436,666.0202026367188
51.990047,-9.73579043,659.6356811523438
51.990047,-9.735936500000001,653.2510986328125
51.990047,-9.73608257,647.0632934570312
51.990047,-9.73622864,640.89013671875
51.990047,-9.73637471,634.717041015625
51.990047,-9.73652078,628.5438842773438
51.990047,-9.73666685,622.5167236328125
51.990047,-9.73681292,616.9791259765625
51.990047,-9.73695899,611.4415283203125
51.990047,-9.737105060000001,605.9039306640625
51.990047,-9.73725113,600.3663330078125
51.990047,-9.7373972,594.8280639648438
51.990047,-9.73754327,589.2891845703125
51.990047,-9.73768934,583.750244140625
51.990047,-9.73783541,578.2113037109375
51.990047,-9.73798148,572.6724243164062
51.990047,-9.73812755,566.9617309570312
51.990047,-9.738273620000001,561.2153930664062
51.990047,-9.73841969,555.4690551757812
51.990047,-9.73856576,549.72265625
51.990047,-9.73871183,544.0037231445312
51.990047,-9.7388579,538.4727783203125
51.990047,-9.73900397,532.9417724609375
51.990047,-9.73915004,527.4108276367188
51.990047,-9.73929611,521.8798217773438
51.990047,-9.739442180000001,516.3494262695312
51.990047,-9.73958825,510.8197631835938
51.990047,-9.73973432,505.2901000976562
51.990047,-9.73988039,499.7604675292969
51.990047,-9.74002646,494.2308044433594
51.990047,-9.74017253,489.3186645507812
51.990047,-9.7403186,484.6399230957031
51.990047,-9.74046467,479.961181640625
51.990047,-9.740610740000001,475.282470703125
51.990047,-9.74075681,470.6089782714844
51.990047,-9.74090288,466.1416625976562
51.990047,-9.74104895,461.67431640625
51.990047,-9.74119502,457.2070007324219
51.990047,-9.74134109,452.7396850585938
51.990047,-9.74148716,448.4800415039062
51.990047,-9.74163323,444.653564453125
51.990047,-9.741779300000001,440.8270568847656
51.990047,-9.74192537,437.0005798339844
51.990047,-9.74207144,433.174072265625
51.990047,-9.74221751,429.6135864257812
51.990047,-9.74236358,426.2138977050781
51.990047,-9.74250965,422.8141784667969
51.990047,-9.74265572,419.4144592285156
51.990047,-9.74280179,416.0147705078125
51.990047,-9.742947860000001,413.0063171386719
51.990047,-9.74309393,410.0307312011719
51.990047,-9.74324,407.05517578125
51.990047,-9.74338607,404.07958984375
51.990047,-9.74353214,401.4335632324219
51.990047,-9.74367821,399.9444580078125
51.990047,-9.74382428,398.4553527832031
51.990047,-9.74397035,396.9662475585938
51.990047,-9.744116420000001,395.4771423339844
51.990047,-9.74426249,393.8786010742188
51.990047,-9.74440856,392.1794128417969
51.990047,-9.74455463,390.480224609375
51.990047,-9.7447007,388.781005859375
51.990047,-9.74484677,387.0818176269531
51.990047,-9.74499284,386.9506225585938
51.990047,-9.74513891,387.163330078125
51.990047,-9.745284980000001,387.3760681152344
51.990047,-9.74543105,387.5888061523438
51.990047,-9.74557712,387.9027404785156
51.990047,-9.74572319,388.9637451171875
51.990047,-9.74586926,390.0247497558594
51.990047,-9.74601533,391.0857543945312
51.990047,-9.7461614,392.1467590332031
51.990047,-9.74630747,393.2094116210938
51.990047,-9.746453540000001,394.2743835449219
51.990047,-9.74659961,395.33935546875
51.990047,-9.74674568,396.4043273925781
51.990047,-9.74689175,397.4692993164062
51.990047,-9.74703782,398.841552734375
51.990047,-9.74718389,400.3346252441406
51.990047,-9.74732996,401.8276977539062
51.990047,-9.74747603,403.3207702636719
51.990047,-9.747622100000001,404.8174133300781
51.990047,-9.74776817,406.5205688476562
51.990047,-9.74791424,408.2237243652344
51.990047,-9.74806031,409.9268798828125
51.990047,-9.74820638,411.6300354003906
51.990047,-9.74835245,413.6013793945312
51.990047,-9.74849852,416.1528015136719
51.990047,-9.74864459,418.7042236328125
51.990047,-9.748790660000001,421.2556762695312
