latitude,longitude,elevation
51.99045,-9.728086,814.79931640625
51.99045,-9.7295467,819.7587890625
51.99045,-9.7310074,819.8703002929688
51.99045,-9.7324681,800.9075927734375
51.99045,-9.7339288,757.3310546875
51.99045,-9.7353895,699.0140380859375
51.99045,-9.7368502,645.3720092773438
51.99045,-9.7383109,591.9722290039062
51.99045,-9.7397716,532.7890625
51.99045,-9.7412323,483.2340393066406
51.99045,-9.742693,456.0072021484375
51.99045,-9.7441537,434.3227844238281
51.99045,-9.745614400000001,415.1820373535156
51.99045,-9.7470751,421.8959655761719
51.99045,-9.7485358,446.8207092285156
51.99045,-9.7499965,473.3131408691406
51.99045,-9.7514572,509.63427734375
51.99045,-9.7529179,552.0576782226562
51.99045,-9.7543786,590.045166015625
51.99045,-9.7558393,624.4656372070312
51.99045,-9.7573,655.9550170898438
51.99134950000001,-9.728086,786.8492431640625
51.99134950000001,-9.7295467,777.4510498046875
51.99134950000001,-9.7310074,758.3438110351562
51.99134950000001,-9.7324681,748.1411743164062
51.99134950000001,-9.7339288,745.408203125
51.99134950000001,-9.7353895,733.7691650390625
51.99134950000001,-9.7368502,706.2061767578125
51.99134950000001,-9.7383109,657.685791015625
51.99134950000001,-9.7397716,602.6948852539062
51.99134950000001,-9.7412323,569.1810913085938
51.99134950000001,-9.742693,546.4248657226562
51.99134950000001,-9.7441537,526.6055908203125
51.99134950000001,-9.745614400000001,503.1047058105469
51.99134950000001,-9.7470751,499.3153991699219
51.99134950000001,-9.7485358,513.177490234375
51.99134950000001,-9.7499965,542.9520874023438
51.99134950000001,-9.7514572,584.7235107421875
51.99134950000001,-9.7529179,624.5980224609375
51.99134950000001,-9.7543786,665.26953125
51.99134950000001,-9.7558393,702.7515258789062
51.99134950000001,-9.7573,734.519287109375
51.992249,-9.728086,723.4012451171875
51.992249,-9.7295467,691.861083984375
51.992249,-9.7310074,668.691162109375
51.992249,-9.7324681,666.5897827148438
51.992249,-9.7339288,684.2066650390625
51.992249,-9.7353895,710.2037353515625
51.992249,-9.7368502,720.99072265625
51.992249,-9.7383109,702.3650512695312
51.992249,-9.7397716,667.588134765625
51.992249,-9.7412323,655.9977416992188
51.992249,-9.742693,640.60302734375
51.992249,-9.7441537,623.4602661132812
51.992249,-9.745614400000001,608.65576171875
51.992249,-9.7470751,600.15576171875
51.992249,-9.7485358,603.5299072265625
51.992249,-9.7499965,626.2472534179688
51.992249,-9.7514572,672.5088500976562
51.992249,-9.7529179,709.1616821289062
51.992249,-9.7543786,750.4937744140625
51.992249,-9.7558393,785.4482421875
51.992249,-9.7573,811.3165893554688
51.9931485,-9.728086,666.8550415039062
51.9931485,-9.7295467,619.9446411132812
51.9931485,-9.7310074,593.5106201171875
51.9931485,-9.7324681,590.1721801757812
51.9931485,-9.7339288,609.9863891601562
51.9931485,-9.7353895,651.0167236328125
51.9931485,-9.7368502,699.8495483398438
51.9931485,-9.7383109,725.83544921875
51.9931485,-9.7397716,722.7030029296875
51.9931485,-9.7412323,731.5712280273438
51.9931485,-9.742693,732.1534423828125
51.9931485,-9.7441537,721.5362548828125
51.9931485,-9.745614400000001,713.8844604492188
51.9931485,-9.7470751,699.1338500976562
51.9931485,-9.7485358,699.0767211914062
51.9931485,-9.7499965,716.1874389648438
51.9931485,-9.7514572,762.8583374023438
51.9931485,-9.7529179,797.225830078125
51.9931485,-9.7543786,832.90576171875
51.9931485,-9.7558393,860.7950439453125
51.9931485,-9.7573,883.0940551757812
51.994048,-9.728086,623.309326171875
51.994048,-9.7295467,567.0425415039062
51.994048,-9.7310074,532.982666015625
51.994048,-9.7324681,526.6387329101562
51.994048,-9.7339288,552.2197875976562
51.994048,-9.7353895,607.2489013671875
51.994048,-9.7368502,679.2884521484375
51.994048,-9.7383109,737.8741455078125
51.994048,-9.7397716,764.3319702148438
51.994048,-9.7412323,782.3272094726562
51.994048,-9.742693,804.1668701171875
51.994048,-9.7441537,818.55908203125
51.994048,-9.745614400000001,821.8546752929688
51.994048,-9.7470751,788.8560180664062
51.994048,-9.7485358,783.2859497070312
51.994048,-9.7499965,800.7847900390625
51.994048,-9.7514572,845.2266235351562
51.994048,-9.7529179,875.5000610351562
